SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,0-4,0,5,523.548,499.717,1023.265
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,5-9,5,5,344.774,340.707,685.481
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,10-14,10,5,304.95,317.166,622.116
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,15-19,15,5,293.164,303.3,596.464
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,20-24,20,5,275.05,273.873,548.923
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,25-29,25,5,246.467,235.254,481.721
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,30-34,30,5,217.463,196.215,413.678
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,35-39,35,5,186.061,156.648,342.709
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,40-44,40,5,149.582,119.318,268.9
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,45-49,45,5,114.283,90.739,205.022
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,50-54,50,5,85.197,68.697,153.894
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,55-59,55,5,52.076,40.917,92.993
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,60-64,60,5,40.222,30.719,70.941
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,65-69,65,5,34.775,26.306,61.081
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,70-74,70,5,26.922,20.129,47.051
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,75-79,75,5,17.728,13.202,30.93
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,80-84,80,5,9.64,7.452,17.092
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,85-89,85,5,3.904,3.285,7.189
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,90-94,90,5,1.071,1.013,2.084
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,95-99,95,5,0.185,0.201,0.386
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1950,1950,100+,100,-1,0.02,0.024,0.044
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,0-4,0,5,554.337,534.817,1089.154
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,5-9,5,5,358.368,351.316,709.684
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,10-14,10,5,307.47,317.774,625.244
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,15-19,15,5,293.268,305.16,598.428
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,20-24,20,5,277.109,278.651,555.76
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,25-29,25,5,249.515,240.614,490.129
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,30-34,30,5,220.288,201.533,421.821
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,35-39,35,5,189.791,162.321,352.112
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,40-44,40,5,154.287,124.325,278.612
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,45-49,45,5,118.518,94.143,212.661
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,50-54,50,5,88.358,71.377,159.735
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,55-59,55,5,56.897,45.309,102.206
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,60-64,60,5,39.333,30.16,69.493
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,65-69,65,5,34.124,25.912,60.036
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,70-74,70,5,26.578,19.995,46.573
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,75-79,75,5,17.62,13.253,30.873
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,80-84,80,5,9.589,7.492,17.081
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,85-89,85,5,3.889,3.305,7.194
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,90-94,90,5,1.066,1.018,2.084
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,95-99,95,5,0.184,0.202,0.386
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1951,1951,100+,100,-1,0.02,0.024,0.044
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,0-4,0,5,582.352,567.067,1149.419
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,5-9,5,5,375.713,366.164,741.877
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,10-14,10,5,311.176,318.837,630.013
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,15-19,15,5,293.368,306.483,599.851
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,20-24,20,5,278.807,283.02,561.827
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,25-29,25,5,252.552,245.911,498.463
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,30-34,30,5,223.082,206.748,429.83
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,35-39,35,5,193.255,167.893,361.148
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,40-44,40,5,158.877,129.521,288.398
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,45-49,45,5,122.877,97.755,220.632
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,50-54,50,5,91.613,74.055,165.668
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,55-59,55,5,61.844,49.784,111.628
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,60-64,60,5,38.98,30.059,69.039
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,65-69,65,5,33.469,25.5,58.969
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,70-74,70,5,26.198,19.814,46.012
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,75-79,75,5,17.499,13.286,30.785
45,800,,UGA,UG,800,4,Country/Area,910,Uganda,2,Medium,1952,1952,80-84,80,5,9.534,7.533,17.067
